id_contra_cheque,chave_coleta,nome,matricula,funcao,local_trabalho,tipo,ativo
tjsc/01/2021/143,tjsc/01/2021,DOMINGOS PALUDO,,,,MEMBRO,true
tjsc/01/2021/144,tjsc/01/2021,DOMINIQUE GURTINSKI BORBA FERNANDES,,,,MEMBRO,true
tjsc/01/2021/145,tjsc/01/2021,DOUGLAS CRISTIAN FONTANA,,,,MEMBRO,true
tjsc/01/2021/146,tjsc/01/2021,EDEMAR GRUBER,,,,MEMBRO,true
tjsc/01/2021/147,tjsc/01/2021,EDEMAR LEOPOLDO SCHLOSSER,,,,MEMBRO,true
tjsc/01/2021/148,tjsc/01/2021,EDENILDO DA SILVA,,,,MEMBRO,true
tjsc/01/2021/149,tjsc/01/2021,EDERSON TORTELLI,,,,MEMBRO,true
tjsc/01/2021/150,tjsc/01/2021,EDIO DE OLIVEIRA,,,,MEMBRO,true
tjsc/01/2021/151,tjsc/01/2021,EDIPO COSTABEBER,,,,MEMBRO,true
tjsc/01/2021/152,tjsc/01/2021,EDIR JOSIAS SILVEIRA BECK,,,,MEMBRO,true
tjsc/01/2021/153,tjsc/01/2021,EDISON ALVANIR ANJOS DE OLIVEIRA JUNIOR,,,,MEMBRO,true
tjsc/01/2021/154,tjsc/01/2021,EDISON ZIMMER,,,,MEMBRO,true
tjsc/01/2021/155,tjsc/01/2021,EDMUNDO JOSE DE BASTOS JUNIOR,,,,MEMBRO,true
tjsc/01/2021/156,tjsc/01/2021,EDSON LUIZ DE OLIVEIRA,,,,MEMBRO,true
tjsc/01/2021/157,tjsc/01/2021,EDSON MARCOS DE MENDONCA,,,,MEMBRO,true
tjsc/01/2021/158,tjsc/01/2021,EDSON NELSON UBALDO,,,,MEMBRO,true
tjsc/01/2021/159,tjsc/01/2021,EDUARDO BONNASSIS BURG,,,,MEMBRO,true
tjsc/01/2021/160,tjsc/01/2021,EDUARDO CAMARGO,,,,MEMBRO,true
tjsc/01/2021/161,tjsc/01/2021,EDUARDO FELIPE NARDELLI,,,,MEMBRO,true
tjsc/01/2021/162,tjsc/01/2021,EDUARDO MATTOS GALLO JUNIOR,,,,MEMBRO,true
tjsc/01/2021/163,tjsc/01/2021,EDUARDO PASSOLD REIS,,,,MEMBRO,true
tjsc/01/2021/164,tjsc/01/2021,EDUARDO VEIGA VIDAL,,,,MEMBRO,true
tjsc/01/2021/165,tjsc/01/2021,EGIDIO JOSE GENEHR,,,,MEMBRO,true
tjsc/01/2021/166,tjsc/01/2021,ELADIO TORRET ROCHA,,,,MEMBRO,true
tjsc/01/2021/167,tjsc/01/2021,ELAINE CRISTINA DE SOUZA FREITAS,,,,MEMBRO,true
tjsc/01/2021/168,tjsc/01/2021,ELAINE VELOSO MARRASCHI,,,,MEMBRO,true
tjsc/01/2021/169,tjsc/01/2021,ELEAZAR MIGUEL DO NASCIMENTO,,,,MEMBRO,true
tjsc/01/2021/170,tjsc/01/2021,ELIANE ALFREDO CARDOSO DE ALBUQUERQUE,,,,MEMBRO,true
tjsc/01/2021/171,tjsc/01/2021,ELIZA MARIA STRAPAZZON,,,,MEMBRO,true
tjsc/01/2021/172,tjsc/01/2021,ELLESTON LISSANDRO CANALI,,,,MEMBRO,true
tjsc/01/2021/173,tjsc/01/2021,ELMO FIEGENBAUM,,,,MEMBRO,true
tjsc/01/2021/174,tjsc/01/2021,ELTON VITOR ZUQUELO,,,,MEMBRO,true
tjsc/01/2021/175,tjsc/01/2021,EMANUEL SCHENKEL DO AMARAL E SILVA,,,,MEMBRO,true
tjsc/01/2021/176,tjsc/01/2021,EMERSON CARLOS CITTOLIN DOS SANTOS,,,,MEMBRO,true
tjsc/01/2021/177,tjsc/01/2021,EMERSON FELLER BERTEMES,,,,MEMBRO,true
tjsc/01/2021/178,tjsc/01/2021,ERALTON JOAQUIM VIVIANI,,,,MEMBRO,true
tjsc/01/2021/179,tjsc/01/2021,ERICA LOURENCO DE LIMA FERREIRA,,,,MEMBRO,true
tjsc/01/2021/180,tjsc/01/2021,ERMINIO AMARILDO DAROLD,,,,MEMBRO,true
tjsc/01/2021/181,tjsc/01/2021,ERNANI GUETTEN DE ALMEIDA,,,,MEMBRO,true
tjsc/01/2021/182,tjsc/01/2021,ERNESTO ZULMIR MORESTONI,,,,MEMBRO,true
tjsc/01/2021/183,tjsc/01/2021,ERON PINTER PIZZOLATTI,,,,MEMBRO,true
tjsc/01/2021/184,tjsc/01/2021,EVANDRO VOLMAR RIZZO,,,,MEMBRO,true
tjsc/01/2021/185,tjsc/01/2021,EZEQUIEL RODRIGO GARCIA,,,,MEMBRO,true
tjsc/01/2021/186,tjsc/01/2021,EZEQUIEL SCHLEMPER,,,,MEMBRO,true
tjsc/01/2021/187,tjsc/01/2021,FABIANE ALICE MULLER HEINZEN GERENT,,,,MEMBRO,true
tjsc/01/2021/188,tjsc/01/2021,FABIANO ANTUNES DA SILVA,,,,MEMBRO,true
tjsc/01/2021/189,tjsc/01/2021,FABIO NILO BAGATTOLI,,,,MEMBRO,true
tjsc/01/2021/190,tjsc/01/2021,FABIOLA DUNCKA GEISER,,,,MEMBRO,true
tjsc/01/2021/191,tjsc/01/2021,FABRICIA ALCANTARA MONDIN,,,,MEMBRO,true
tjsc/01/2021/192,tjsc/01/2021,FABRICIO ROSSETTI GAST,,,,MEMBRO,true
tjsc/01/2021/193,tjsc/01/2021,FELICIO SOETHE,,,,MEMBRO,true
tjsc/01/2021/194,tjsc/01/2021,FELIPE AGRIZZI FERRACO,,,,MEMBRO,true
tjsc/01/2021/195,tjsc/01/2021,FELIPE NOBREGA SILVA,,,,MEMBRO,true
tjsc/01/2021/196,tjsc/01/2021,FELIPPI AMBROSIO,,,,MEMBRO,true
tjsc/01/2021/197,tjsc/01/2021,FERNANDA PEREIRA NUNES,,,,MEMBRO,true
tjsc/01/2021/198,tjsc/01/2021,FERNANDO CARIONI,,,,MEMBRO,true
tjsc/01/2021/199,tjsc/01/2021,FERNANDO CORDIOLI GARCIA,,,,MEMBRO,true
tjsc/01/2021/200,tjsc/01/2021,FERNANDO CURI,,,,MEMBRO,true
tjsc/01/2021/201,tjsc/01/2021,FERNANDO DAL BO MARTINS,,,,MEMBRO,true
tjsc/01/2021/202,tjsc/01/2021,FERNANDO DE CASTRO FARIA,,,,MEMBRO,true
tjsc/01/2021/203,tjsc/01/2021,FERNANDO DE MEDEIROS RITTER,,,,MEMBRO,true
tjsc/01/2021/204,tjsc/01/2021,FERNANDO MACHADO CARBONI,,,,MEMBRO,true
tjsc/01/2021/205,tjsc/01/2021,FERNANDO ORESTES RIGONI,,,,MEMBRO,true
tjsc/01/2021/206,tjsc/01/2021,FERNANDO RODRIGO BUSARELLO,,,,MEMBRO,true
tjsc/01/2021/207,tjsc/01/2021,FERNANDO SEARA HICKEL,,,,MEMBRO,true
tjsc/01/2021/208,tjsc/01/2021,FERNANDO SPECK DE SOUZA,,,,MEMBRO,true
tjsc/01/2021/209,tjsc/01/2021,FERNANDO VIEIRA LUIZ,,,,MEMBRO,true
tjsc/01/2021/210,tjsc/01/2021,FERNANDO ZIMERMANN GERBER,,,,MEMBRO,true
tjsc/01/2021/211,tjsc/01/2021,FLAVIA CARNEIRO DE PARIS,,,,MEMBRO,true
tjsc/01/2021/212,tjsc/01/2021,FLAVIA MAELI DA SILVA BALDISSERA,,,,MEMBRO,true
tjsc/01/2021/213,tjsc/01/2021,FLAVIO ANDRE PAZ DE BRUM,,,,MEMBRO,true
tjsc/01/2021/214,tjsc/01/2021,FLAVIO LOPES DA COSTA,,,,MEMBRO,true
tjsc/01/2021/215,tjsc/01/2021,FLAVIO LUIS DELL ANTONIO,,,,MEMBRO,true
tjsc/01/2021/216,tjsc/01/2021,FRANCIELLI STADTLOBER BORGES AGACCI,,,,MEMBRO,true
tjsc/01/2021/217,tjsc/01/2021,FRANCISCO CARLOS MAMBRINI,,,,MEMBRO,true
tjsc/01/2021/218,tjsc/01/2021,FRANCISCO JOSE RODRIGUES DE OLIVEIRA FILHO,,,,MEMBRO,true
tjsc/01/2021/219,tjsc/01/2021,FRANCISCO JOSE RODRIGUES DE OLIVEIRA NETO,,,,MEMBRO,true
tjsc/01/2021/220,tjsc/01/2021,FRANCISCO XAVIER MEDEIROS VIEIRA,,,,MEMBRO,true
tjsc/01/2021/221,tjsc/01/2021,FREDERICO ANDRADE SIEGEL,,,,MEMBRO,true
tjsc/01/2021/222,tjsc/01/2021,FULVIO BORGES FILHO,,,,MEMBRO,true
tjsc/01/2021/223,tjsc/01/2021,GABRIEL MARCON DALPONTE,,,,MEMBRO,true
tjsc/01/2021/224,tjsc/01/2021,GABRIELA GARCIA SILVA RUA,,,,MEMBRO,true
tjsc/01/2021/225,tjsc/01/2021,GABRIELA GORINI MARTIGNAGO CORAL,,,,MEMBRO,true
tjsc/01/2021/226,tjsc/01/2021,GABRIELA SAILON DE SOUZA BENEDET,,,,MEMBRO,true
tjsc/01/2021/227,tjsc/01/2021,GABRIELLA MATARELLI CALIJORNE DAIMOND GOMES,,,,MEMBRO,true
tjsc/01/2021/228,tjsc/01/2021,GEOMIR ROLAND PAUL,,,,MEMBRO,true
