orgao,categoria,campo,item,categoria_dj,incide_teto_segundo_cnj,incide_teto_segundo_dj
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,Inden Plan ResTJOE12/2015",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,Inden Plan ResTJOE12/2015,Ind Pla ResTJOE12/2015Ant",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,INSTRUTOR PÓS GRADUAÇÃO",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,PECUNIA LICENCA EXER.ANT.",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,PECUNIA LICENCA EXER.ANT.,Ind Pla ResTJOE12/2015Ant",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,PECUNIA LICENÇA VIGENTE",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,REPRE. Lei 5535/09 I e II,DECIDIR,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPRE. Lei 5535/09 I e II,PECUNIA LICENCA EXER.ANT.",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPRE. Lei 5535/09 I e II,PECUNIA LICENÇA VIGENTE",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPRES.  - Lei 5535/09, inc. I  e  II",DECIDIR,NA,NA
TJRJ,Indenizações,Detalhe,Indenização Transporte Res TJ/OE 11/2015,Penduricalho,N,Sim
TJRJ,Indenizações,Detalhe,AUXÍLIO EDUCAÇÃO PÓS-GRADUAÇÃO MAGISTRADO,Penduricalho,N,Sim
TJRJ,Indenizações,Detalhe,AUXÍLIO EDUCAÇÃO,Penduricalho,N,Sim
TJRJ,Indenizações,Detalhe,"AUXÍLIO EDUCAÇÃO,DIARIAS",Opaco,N,Sim
TJRJ,Indenizações,Detalhe,DIARIAS,Diárias,N,Sim
TJRS,contracheque,Normal,Subsídio,Remuneração,S,NA
TJRS,contracheque,Normal,Diárias,Diárias,N,NA
TJRS,contracheque,Normal,Remuneração do órgão de origem,Remuneração,S,NA
TJRS,contracheque,Normal,Descontos Diversos,Descontos,Não se aplica,NA
TJRS,contracheque,Normal,Retenção por Teto Constitucional,Descontos,Não se aplica,NA
TJRS,contracheque,Normal,Previdência Pública,Descontos,Não se aplica,NA
TJRS,contracheque,Normal,Imposto de renda,Descontos,Não se aplica,NA
TJRS,direitos-eventuais,Normal,Pagamentos retroativos,Opaco,Impossível Saber,NA
